Source,Target
A,A01
A01,A01B
A01,A01C
A01,A01D
A01,A01F
A01,A01G
A01,A01H
A01,A01J
A01,A01K
A01,A01L
A01,A01M
A01,A01N
A01,A01P
A,A21
A21,A21B
A21,A21C
A21,A21D
A,A22
A22,A22B
A22,A22C
A,A23
A23,A23B
A23,A23C
A23,A23D
A23,A23F
A23,A23G
A23,A23J
A23,A23K
A23,A23L
A23,A23N
A23,A23P
A,A24
A24,A24B
A24,A24C
A24,A24D
A24,A24F
A,A41
A41,A41B
A41,A41C
A41,A41D
A41,A41F
A41,A41G
A41,A41H
A,A42
A42,A42B
A42,A42C
A,A43
A43,A43B
A43,A43C
A43,A43D
A,A44
A44,A44B
A44,A44C
A,A45
A45,A45B
A45,A45C
A45,A45D
A45,A45F
A,A46
A46,A46B
A46,A46D
A,A47
A47,A47B
A47,A47C
A47,A47D
A47,A47F
A47,A47G
A47,A47H
A47,A47J
A47,A47K
A47,A47L
A,A61
A61,A61B
A61,A61C
A61,A61D
A61,A61F
A61,A61G
A61,A61H
A61,A61J
A61,A61K
A61,A61L
A61,A61M
A61,A61N
A61,A61P
A61,A61Q
A,A62
A62,A62B
A62,A62C
A62,A62D
A,A63
A63,A63B
A63,A63C
A63,A63D
A63,A63F
A63,A63G
A63,A63H
A63,A63J
A63,A63K
A,A99
A99,A99Z
B,B01
B01,B01B
B01,B01D
B01,B01F
B01,B01J
B01,B01L
B,B02
B02,B02B
B02,B02C
B,B03
B03,B03B
B03,B03C
B03,B03D
B,B04
B04,B04B
B04,B04C
B,B05
B05,B05B
B05,B05C
B05,B05D
B,B06
B06,B06B
B,B07
B07,B07B
B07,B07C
B,B08
B08,B08B
B,B09
B09,B09B
B09,B09C
B,B21
B21,B21B
B21,B21C
B21,B21D
B21,B21F
B21,B21G
B21,B21H
B21,B21J
B21,B21K
B21,B21L
B,B22
B22,B22C
B22,B22D
B22,B22F
B,B23
B23,B23B
B23,B23C
B23,B23D
B23,B23F
B23,B23G
B23,B23H
B23,B23K
B23,B23P
B23,B23Q
B,B24
B24,B24B
B24,B24C
B24,B24D
B,B25
B25,B25B
B25,B25C
B25,B25D
B25,B25F
B25,B25G
B25,B25H
B25,B25J
B,B26
B26,B26B
B26,B26D
B26,B26F
B,B27
B27,B27B
B27,B27C
B27,B27D
B27,B27F
B27,B27G
B27,B27H
B27,B27J
B27,B27K
B27,B27L
B27,B27M
B27,B27N
B,B28
B28,B28B
B28,B28C
B28,B28D
B,B29
B29,B29B
B29,B29C
B29,B29D
B29,B29K
B29,B29L
B,B30
B30,B30B
B,B31
B31,B31B
B31,B31C
B31,B31D
B31,B31F
B,B32
B32,B32B
B,B33
B33,B33Y
B,B41
B41,B41B
B41,B41C
B41,B41D
B41,B41F
B41,B41G
B41,B41J
B41,B41K
B41,B41L
B41,B41M
B41,B41N
B,B42
B42,B42B
B42,B42C
B42,B42D
B42,B42F
B,B43
B43,B43K
B43,B43L
B43,B43M
B,B44
B44,B44B
B44,B44C
B44,B44D
B44,B44F
B,B60
B60,B60B
B60,B60C
B60,B60D
B60,B60F
B60,B60G
B60,B60H
B60,B60J
B60,B60K
B60,B60L
B60,B60M
B60,B60N
B60,B60P
B60,B60Q
B60,B60R
B60,B60S
B60,B60T
B60,B60V
B60,B60W
B,B61
B61,B61B
B61,B61C
B61,B61D
B61,B61F
B61,B61G
B61,B61H
B61,B61J
B61,B61K
B61,B61L
B,B62
B62,B62B
B62,B62C
B62,B62D
B62,B62H
B62,B62J
B62,B62K
B62,B62L
B62,B62M
B,B63
B63,B63B
B63,B63C
B63,B63G
B63,B63H
B63,B63J
B,B64
B64,B64B
B64,B64C
B64,B64D
B64,B64F
B64,B64G
B,B65
B65,B65B
B65,B65C
B65,B65D
B65,B65F
B65,B65G
B65,B65H
B,B66
B66,B66B
B66,B66C
B66,B66D
B66,B66F
B,B67
B67,B67B
B67,B67C
B67,B67D
B,B68
B68,B68B
B68,B68C
B68,B68F
B68,B68G
B,B81
B81,B81B
B81,B81C
B,B82
B82,B82B
B82,B82Y
B,B99
B99,B99Z
C,C01
C01,C01B
C01,C01C
C01,C01D
C01,C01F
C01,C01G
C,C02
C02,C02F
C,C03
C03,C03B
C03,C03C
C,C04
C04,C04B
C,C05
C05,C05B
C05,C05C
C05,C05D
C05,C05F
C05,C05G
C,C06
C06,C06B
C06,C06C
C06,C06D
C06,C06F
C,C07
C07,C07B
C07,C07C
C07,C07D
C07,C07F
C07,C07G
C07,C07H
C07,C07J
C07,C07K
C,C08
C08,C08B
C08,C08C
C08,C08F
C08,C08G
C08,C08H
C08,C08J
C08,C08K
C08,C08L
C,C09
C09,C09B
C09,C09C
C09,C09D
C09,C09F
C09,C09G
C09,C09H
C09,C09J
C09,C09K
C,C10
C10,C10B
C10,C10C
C10,C10F
C10,C10G
C10,C10H
C10,C10J
C10,C10K
C10,C10L
C10,C10M
C10,C10N
C,C11
C11,C11B
C11,C11C
C11,C11D
C,C12
C12,C12C
C12,C12F
C12,C12G
C12,C12H
C12,C12J
C12,C12L
C12,C12M
C12,C12N
C12,C12P
C12,C12Q
C12,C12R
C,C13
C13,C13B
C13,C13K
C,C14
C14,C14B
C14,C14C
C,C21
C21,C21B
C21,C21C
C21,C21D
C,C22
C22,C22B
C22,C22C
C22,C22F
C,C23
C23,C23C
C23,C23D
C23,C23F
C23,C23G
C,C25
C25,C25B
C25,C25C
C25,C25D
C25,C25F
C,C30
C30,C30B
C,C40
C40,C40B
C,C99
C99,C99Z
D,D01
D01,D01B
D01,D01C
D01,D01D
D01,D01F
D01,D01G
D01,D01H
D,D02
D02,D02G
D02,D02H
D02,D02J
D,D03
D03,D03C
D03,D03D
D03,D03J
D,D04
D04,D04B
D04,D04C
D04,D04D
D04,D04G
D04,D04H
D,D05
D05,D05B
D05,D05C
D,D06
D06,D06B
D06,D06C
D06,D06F
D06,D06G
D06,D06H
D06,D06J
D06,D06L
D06,D06M
D06,D06N
D06,D06P
D06,D06Q
D,D07
D07,D07B
D,D21
D21,D21B
D21,D21C
D21,D21D
D21,D21F
D21,D21G
D21,D21H
D21,D21J
D,D99
D99,D99Z
E,E01
E01,E01B
E01,E01C
E01,E01D
E01,E01F
E01,E01H
E,E02
E02,E02B
E02,E02C
E02,E02D
E02,E02F
E,E03
E03,E03B
E03,E03C
E03,E03D
E03,E03F
E,E04
E04,E04B
E04,E04C
E04,E04D
E04,E04F
E04,E04G
E04,E04H
E,E05
E05,E05B
E05,E05C
E05,E05D
E05,E05F
E05,E05G
E,E06
E06,E06B
E06,E06C
E,E21
E21,E21B
E21,E21C
E21,E21D
E21,E21F
E,E99
E99,E99Z
F,F01
F01,F01B
F01,F01C
F01,F01D
F01,F01K
F01,F01L
F01,F01M
F01,F01N
F01,F01P
F,F02
F02,F02B
F02,F02C
F02,F02D
F02,F02F
F02,F02G
F02,F02K
F02,F02M
F02,F02N
F02,F02P
F,F03
F03,F03B
F03,F03C
F03,F03D
F03,F03G
F03,F03H
F,F04
F04,F04B
F04,F04C
F04,F04D
F04,F04F
F,F15
F15,F15B
F15,F15C
F15,F15D
F,F16
F16,F16B
F16,F16C
F16,F16D
F16,F16F
F16,F16G
F16,F16H
F16,F16J
F16,F16K
F16,F16L
F16,F16M
F16,F16N
F16,F16P
F16,F16S
F16,F16T
F,F17
F17,F17B
F17,F17C
F17,F17D
F,F21
F21,F21H
F21,F21K
F21,F21L
F21,F21S
F21,F21V
F21,F21W
F21,F21Y
F,F22
F22,F22B
F22,F22D
F22,F22G
F,F23
F23,F23B
F23,F23C
F23,F23D
F23,F23G
F23,F23H
F23,F23J
F23,F23K
F23,F23L
F23,F23M
F23,F23N
F23,F23Q
F23,F23R
F,F24
F24,F24B
F24,F24C
F24,F24D
F24,F24F
F24,F24H
F24,F24S
F24,F24T
F24,F24V
F,F25
F25,F25B
F25,F25C
F25,F25D
F25,F25J
F,F26
F26,F26B
F,F27
F27,F27B
F27,F27D
F,F28
F28,F28B
F28,F28C
F28,F28D
F28,F28F
F28,F28G
F,F41
F41,F41A
F41,F41B
F41,F41C
F41,F41F
F41,F41G
F41,F41H
F41,F41J
F,F42
F42,F42B
F42,F42C
F42,F42D
F,F99
F99,F99Z
G,G01
G01,G01B
G01,G01C
G01,G01D
G01,G01F
G01,G01G
G01,G01H
G01,G01J
G01,G01K
G01,G01L
G01,G01M
G01,G01N
G01,G01P
G01,G01Q
G01,G01R
G01,G01S
G01,G01T
G01,G01V
G01,G01W
G,G02
G02,G02B
G02,G02C
G02,G02F
G,G03
G03,G03B
G03,G03C
G03,G03D
G03,G03F
G03,G03G
G03,G03H
G,G04
G04,G04B
G04,G04C
G04,G04D
G04,G04F
G04,G04G
G04,G04R
G,G05
G05,G05B
G05,G05D
G05,G05F
G05,G05G
G,G06
G06,G06C
G06,G06D
G06,G06E
G06,G06F
G06,G06G
G06,G06J
G06,G06K
G06,G06M
G06,G06N
G06,G06Q
G06,G06T
G,G07
G07,G07B
G07,G07C
G07,G07D
G07,G07F
G07,G07G
G,G08
G08,G08B
G08,G08C
G08,G08G
G,G09
G09,G09B
G09,G09C
G09,G09D
G09,G09F
G09,G09G
G,G10
G10,G10B
G10,G10C
G10,G10D
G10,G10F
G10,G10G
G10,G10H
G10,G10K
G10,G10L
G,G11
G11,G11B
G11,G11C
G,G12
G12,G12B
G,G16
G16,G16B
G16,G16C
G16,G16H
G16,G16Y
G16,G16Z
G,G21
G21,G21B
G21,G21C
G21,G21D
G21,G21F
G21,G21G
G21,G21H
G21,G21J
G21,G21K
G,G99
G99,G99Z
H,H01
H01,H01B
H01,H01C
H01,H01F
H01,H01G
H01,H01H
H01,H01J
H01,H01K
H01,H01L
H01,H01M
H01,H01P
H01,H01Q
H01,H01R
H01,H01S
H01,H01T
H,H02
H02,H02B
H02,H02G
H02,H02H
H02,H02J
H02,H02K
H02,H02M
H02,H02N
H02,H02P
H02,H02S
H,H03
H03,H03B
H03,H03C
H03,H03D
H03,H03F
H03,H03G
H03,H03H
H03,H03J
H03,H03K
H03,H03L
H03,H03M
H,H04
H04,H04B
H04,H04H
H04,H04J
H04,H04K
H04,H04L
H04,H04M
H04,H04N
H04,H04Q
H04,H04R
H04,H04S
H04,H04W
H,H05
H05,H05B
H05,H05C
H05,H05F
H05,H05G
H05,H05H
H05,H05K
H,H99
H99,H99Z
